,Title,Description,location,Status,Transaction,Furnishing,facing,Bathroom,Balcony,Car Parking,Ownership,Current Floor,Total Floors,amount,price
10,2 BHK Ready to Occupy Flat for sale in Regency Heights Kolshet Road,"2 BHK, Multistorey Apartment is available for Sale in Kolshet Road, Thane for 1.3 Crore(s)",thane,Ready to Move,Resale,Semi-Furnished,Unknown,2,0,0,Unknown,16,24,13600000.000000002,11674.0
11,2 BHK Ready to Occupy Flat for sale in Regency Heights Kolshet Road,"2 BHK, Multistorey Apartment is available for Sale in Kolshet Road, Thane for 1.3 Crore(s)",thane,Ready to Move,Resale,Semi-Furnished,Unknown,2,0,0,Unknown,8,20,13500000.0,15995.0
12,4 BHK Ready to Occupy Flat for sale Hiranandani Estate,"Creatively planned and constructed is a 4 BHK flat for sale in Hiranandani Estate, Thane. This flat is an attractive property for resale. This ready to move flat in Hiranandani Estate comes at an affordable price of INR 4.25 Cr. It is a semi-furnished apartment. The property is constructed with proximity to major landmarks like near hiranandani estate.",thane,Ready to Move,Resale,Semi-Furnished,East,4,1,2 Covered,Freehold,18,27,42500000.0,17526.0
13,1 BHK Ready to Occupy Flat for sale Rabodi,"Discover this immaculate 1 BHK flat for sale at the pristine Rabodi in Thane. This premium flat is available for resale at an unbelievable price, so, grab it before it's gone! The ready to move flat in the prime area of Rabodi is available at a reasonable price of INR 75 Lac. The spacious apartment is furnished.",thane,Ready to Move,Resale,Furnished,Unknown,1,0,0,Unknown,2,3,7500000.0,11538.0
14,2 BHK Ready to Occupy Flat for sale in Puraniks Tokyo Bay Kasarvadavali,"Kasarvadavali, Thane has an appealing 2 BHK flat for sale with various amenities. It is housed in the well-planned Puraniks Tokyo Bay township in an advantageous location. This is a desirable apartment for sale. This apartment in one of the significant areas of Kasarvadavali is ready to move, and can be purchased at the best price of INR 90 Lac. The spacious apartment is unfurnished. Some of the landmarks in the vicinity include its near to d mart kavesar.",thane,Ready to Move,New Property,Unfurnished,North - East,2,1,1 Covered,Freehold,10,16,9000000.0,10000.0
15,1 BHK Ready to Occupy Flat for sale in Green Woods Shilphata,"Have a look at this immaculate 1 BHK flat for sale in Shilphata, Thane. Situated in the Green Woods township, it has a prime location. This premium flat is available for sale at an unbelievable price, so, grab it before it's gone! This ready to move flat in Shilphata can be taken at a very economical pricing of INR 37 Lac. The spacious apartment is unfurnished. Landmarks near the apartment include om public school.",thane,Ready to Move,New Property,Unfurnished,East,1,2,0,Freehold,5,7,3700000.0,5736.0
16,1 BHK Ready to Occupy Flat for sale Dombivli West,"This magnificent 1 BHK Flat is available for sale in Dombivli West, Thane. This flat for resale has a desirable location. The ready to move flat in Dombivli West is all ready for sale at a low-priced budget of INR 35 Lac. This flat is an ideal choice because it is an unfurnished apartment with all basic amenities.",thane,Ready to Move,Resale,Unfurnished,Unknown,1,0,0,Unknown,4,5,3500000.0,6481.0
17,2 BHK Ready to Occupy Flat for sale in Everest World Lavender Kolshet,"Discover this immaculate 2 BHK flat for sale at the pristine Kolshet in Thane. Take the experience of contemporary living to a new high, with exquisitely designed apartments at Everest World Lavender. This flat for resale is a choice property. This ready to move property in Kolshet is readily available within an affordable cost of INR 90 Lac. The spacious apartment is unfurnished. The flat is easily approachable because it is near to upcoming metro within 200 meters.",thane,Ready to Move,Resale,Unfurnished,North - East,2,0,66 Covered,Co-operative Society,20,28,9000000.0,11250.0
18,1 BHK Ready to Occupy Flat for sale Shahad,"This lovely 1 BHK Flat in Shahad, Thane is up for sale. This apartment for resale is a great choice. The ready to move flat in the prime area of Shahad is available at a reasonable price of INR 35 Lac. It is a semi-furnished apartment.",thane,Ready to Move,Resale,Semi-Furnished,Unknown,1,1,1 Open,Unknown,3,3,3500000.0,6731.0
19,1 BHK Ready to Occupy Flat for sale in Pride Residency Kasarvadavali,"Creatively planned and constructed is a 1 BHK flat for sale in Kasarvadavali, Thane. This flat is situated within the renown township of Pride Residency. Your hunt for the perfect apartment for resale comes to an end here. This ready to move flat in Kasarvadavali is available for a reasonable price of INR 54 Lac. You will find it semi-furnished. Landmarks near the apartment include opp. to prathmesh tower.",thane,Ready to Move,Resale,Semi-Furnished,East,1,0,1 Open,Freehold,3,7,5400000.0,8571.0
20,2 BHK Ready to Occupy Flat for sale in Ashar Edge Pokharan Road Number 2,"This gorgeous 2 BHK Flat is available for sale in Pokharan Road Number 2, Thane. Enjoying a prime location, this property is housed in the Ashar Edge society. This is one of the best properties available for resale. You can buy this ready to move flat in Pokharan Road Number 2 at a reasonable price of INR 1.65 Cr. You will find it unfurnished. Prominent landmarks in and around this locality are pokhran road no 2.",thane,Ready to Move,Resale,Unfurnished,East,2,2,1 Covered,Freehold,15,31,16500000.0,15000.0
21,2 BHK Ready to Occupy Flat for sale in Lodha Amara Kolshet Road,"Up for immediate sale is a 2 BHK apartment in Kolshet Road, Thane. Don't miss this bargain flat for sale. Ideally situated in the Lodha Amara township it enjoys a prime location. This flat for resale is a choice property. You can buy this ready to move flat in Kolshet Road at a reasonable price of INR 85 Lac. The flat is uniquely designed to enhance the living style. It is unfurnished, studded with all the basic facilities. The prime landmarks near this property are lodha amara is one of mumbai thanes most sought after destination.",thane,Ready to Move,Resale,Unfurnished,North,2,0,1 Covered,Freehold,2,28,8500000.0,12213.0
22,3 BHK Ready to Occupy Flat for sale in Tierra CoOp HSG Soc Ltd Ghodbunder Road,"Creatively planned and constructed is a 3 BHK flat for sale in Ghodbunder Road, Thane. Situated in the excellent Tierra Coop Hsg Soc Ltd township. The flat enjoys a prime location. Your search ends here, because this flat for resale is among the best bargains in town. This ready to move flat located in Ghodbunder Road is available for purchase at a fair price of INR 1.28 Cr. The flat is semi-furnished and is suitable for any family size.",thane,Ready to Move,Resale,Semi-Furnished,East,2,1,0,Co-operative Society,27,27,12800000.0,10940.0
23,1 BHK Ready to Occupy Flat for sale Kalyan,"1 BHK flat available for sale in Thane in the prime location of Kalyan. Your search ends here, because this flat for resale is among the best bargains in town. The ready to move flat in Kalyan is all ready for sale at a low-priced budget of INR 42 Lac. The flat is sold in furnished condition.",thane,Ready to Move,Resale,Furnished,Unknown,1,0,0,Unknown,5,5,4200000.0,7241.0
24,1 BHK Ready to Occupy Flat for sale in Xrbia Warai Neral,"This beautiful 1 BHK Flat is available for sale in Neral, Thane. This flat is placed in a marvellous location within the Xrbia Warai complex. This is a desirable apartment for resale. This ready to move property in Neral is readily available within an affordable cost of INR 24 Lac. Rest easy, as its possession date is Dec '21. The apartment is unfurnished.",thane,Ready to Move,Resale,Unfurnished,Unknown,1,1,0,Freehold,3,8,2400000.0,6648.0
25,1 BHK Ready to Occupy Flat for sale Anand Nagar Thane West,"Creatively planned and constructed is a 1 BHK flat for sale in Anand Nagar Thane West, Thane. Your search ends here, because this flat for resale is among the best bargains in town. This ready to move flat in Anand Nagar Thane West comes at an affordable price of INR 61 Lac. This contemporary apartment is unfurnished.",thane,Ready to Move,Resale,Unfurnished,Unknown,1,0,0,Unknown,11,17,6100000.0,9683.0
26,3 BHK Ready to Occupy Flat for sale in Palacia Kingston Phase 2 Hiranandani Estate,"3 BHK flat available for sale in Thane in the prime location of Hiranandani Estate. Situated in the excellent Palacia Kingston Phase 2 township. The flat enjoys a prime location. This flat all equipped with required facilities, is up for resale. Available at a reasonable selling price of INR 1.75 Cr, this ready to move apartment in Hiranandani Estate is a great buy. It is furnished to accommodate your needs. Prominent landmarks in and around this locality are bhoomi acres phase2.",thane,Ready to Move,Resale,Furnished,East,3,3,1 Covered,Freehold,8,20,17500000.0,14344.0
27,1 BHK Ready to Occupy Flat for sale in Balaji Annex Thakurli,"This exquisite 1 BHK Flat is offered for sale in Thakurli, Thane. Enjoying a prime location, this property is housed in the Balaji Annex society. This premium flat is available for sale at an unbelievable price, so, grab it before it's gone! The ready to move flat in the prime area of Thakurli is available at a reasonable price of INR 47 Lac. The flat is semi-furnished and is suitable for any family size. Some nearby landmarks are thakurli 90 ft road station 3 min walking distance..",thane,Ready to Move,New Property,Semi-Furnished,North - East,1,1,1 Open,Freehold,9,24,4700000.0,7287.0
28,4 BHK Ready to Occupy Flat for sale in Hiranandani Meadows Manpada Thane West,"This lovely 4 BHK Flat in Manpada Thane West, Thane is up for sale. This flat is situated in the Hiranandani Meadows township and is equipped with premium facilities. This apartment is a property of choice for resale. Available at a reasonable selling price of INR 3.20 Cr, this ready to move apartment in Manpada Thane West is a great buy. The flat is unfurnished and makes for an ideal choice for any family. near dr. kashinath ghanekar natyagruha are some major landmarks near the apartment.",thane,Ready to Move,Resale,Unfurnished,East,3,1,2 Covered,Freehold,16,27,32000000.0,17827.0
29,2 BHK Ready to Occupy Flat for sale in Auralis The Twins Teen Hath Naka Area,"Discover this immaculate 2 BHK flat for sale at the pristine Teen Hath Naka in Thane. Situated in the excellent Auralis The Twins township. The flat enjoys a prime location. This flat all equipped with required facilities, is up for resale. Located in Teen Hath Naka, this ready to move apartment is sold at a fair selling price of INR 1.98 Cr. The flat is semi-furnished and makes for an ideal choice for any family. teen hath naka are some of the key nearby landmarks.",thane,Ready to Move,Resale,Semi-Furnished,East,2,2,1 Covered,Freehold,14,29,19800000.0,15196.0
30,1 BHK Ready to Occupy Flat for sale in Orovia Phase 1 Waghbil,"This magnificent 1 BHK Flat is available for sale in Waghbil, Thane. Well-tucked in the Orovia Phase 1 township, the property is easily accessible. Invest your valuable money in this flat that is for resale. This ready to move flat is offered at an economical price of INR 83 Lac. It is a semi-furnished apartment. near hiranandani esate are a few nearby landmarks.",thane,Ready to Move,Resale,Semi-Furnished,East,2,1,1 Covered,Power Of Attorney,12,27,8300000.0,11608.0
31,3 BHK Ready to Occupy Flat for sale in Rustomjee Athena Balkum Naka,"This exquisite 3 BHK Flat is offered for sale in Balkum Naka, Thane. Enjoying a prime location, this property is housed in the Rustomjee Athena society. This apartment is a property of choice for resale. The ready to move flat in the prime area of Balkum Naka is available at a reasonable price of INR 1.42 Cr. The flat is available in semi-furnished condition. The property is strategically placed near prominent places as rustomjee athena thane west which make for the smooth living of residents.",thane,Ready to Move,Resale,Semi-Furnished,East,3,0,1 Covered,Freehold,1,27,14200000.0,11008.0
32,1 BHK Ready to Occupy Flat for sale in JVM Shubham Thane West,"One can find this stunning 1 BHK flat for sale in Thane West, Thane. Situated in the Jvm Shubham township, it has a prime location. This is one of the best properties available for resale. This apartment in one of the significant areas of Thane West is ready to move, and can be purchased at the best price of INR 54 Lac. Available in furnished state, this flat is a great buy.",thane,Ready to Move,Resale,Furnished,East,2,3,0,Freehold,2,7,5400000.0,9643.0
33,1 BHK Ready to Occupy Flat for sale Badlapur,"Badlapur, Thane has an appealing 1 BHK flat for sale with various amenities. This flat is available as a resale property. In Badlapur, this ready to move flat is available at an attractive price of INR 26 Lac. This contemporary apartment is semi-furnished.",thane,Ready to Move,Resale,Semi-Furnished,Unknown,1,3,0,Unknown,5,7,2600000.0,3768.0
34,1 BHK Ready to Occupy Flat for sale Dombivli West,"This magnificent 1 BHK Flat is available for sale in Dombivli West, Thane. Your search ends here, because this flat for resale is among the best bargains in town. This apartment in one of the significant areas of Dombivli West is ready to move, and can be purchased at the best price of INR 70 Lac. This immaculate flat boasts of coming in semi-furnished form which takes the entire deal to the next level.",thane,Ready to Move,Resale,Semi-Furnished,Unknown,1,0,0,Unknown,2,4,7000000.0,9333.0
35,2 BHK Ready to Occupy Flat for sale in Dosti West County Balkum Pada,"Discover this immaculate 2 BHK flat for sale at the pristine Balkum village in Thane. It is in a prime location within the Dosti West County. Your search ends here, because this flat for sale is among the best bargains in town. You can buy this ready to move flat in Balkum village at a reasonable price of INR 1.18 Cr. This contemporary apartment is unfurnished. dosti west country balkum thane west are some major landmarks near the apartment.",thane,Ready to Move,New Property,Unfurnished,East,2,1,1 Covered,Freehold,16,38,11800000.0,12369.0
36,2 BHK Ready to Occupy Flat for sale in Arihant Aksh Badlapur,"This gorgeous 2 BHK Flat is available for sale in Badlapur, Thane. Take the experience of contemporary living to a new high, with exquisitely designed apartments at Arihant Aksh. This flat is an attractive property for resale. This ready to move flat located in Badlapur is available for purchase at a fair price of INR 35 Lac. The flat is unfurnished and is suitable for any family size.",thane,Ready to Move,Resale,Unfurnished,Unknown,2,3,0,Unknown,2,7,3500000.0,4070.0
37,1 BHK Ready to Occupy Flat for sale Bapsai Thane,1 BHK flat available for sale in Thane in the prime location of Bapsai. This flat for resale is the perfect property for you! This ready to move flat is offered at an economical price of INR 20 Lac. This immaculate flat boasts of coming in unfurnished form which takes the entire deal to the next level.,thane,Ready to Move,Resale,Unfurnished,East,1,2,1 Covered,Unknown,3,4,2000000.0,4149.0
38,2 BHK Ready to Occupy Flat for sale Kalyan West,"This attractive 2 BHK apartment can be found for sale in Kalyan West, Thane. This flat for resale is a choice property. This ready to move flat in Kalyan West is available for a reasonable price of INR 70 Lac. This flat is an ideal choice because it is an semi-furnished apartment with all basic amenities.",thane,Ready to Move,Resale,Semi-Furnished,Unknown,2,0,0,Unknown,2,17,7000000.0,6364.0
39,2 BHK Ready to Occupy Flat for sale Shilphata,"One can find this stunning 2 BHK flat for sale in Shilphata, Thane. This premium flat is available for resale at an unbelievable price, so, grab it before it's gone! Available at a reasonable selling price of INR 37 Lac, this ready to move apartment in Shilphata is a great buy. This furnished flat is strategically designed with all the amenities to enhance the living experience. The property is strategically placed near prominent places as description1 bhk2 bhkwelcome to riverwood parkat kalyan shil road, dombivliwelcome to riverwood park a unique, 42-acre world of heartful experiences that offers the rarest confluence - natural riverside landscapes, direct connectivity and complete self- sufficiency. in addition to the pristine air, mesmerizing lush panoramas and infinite greens, youll be treated to a sheer abundance of amenities and facilities for your leisure, entertainment and security. when youre surrounded by serene beauty, your home should follow suit, which is why we have an unstinting collection of spacious high-rise apartments with scenic views. riverwood park represents the essence of heartful living - a life that is beautiful, plentiful and thoughtful. its a place with the perfect combination of a modern and eco-friendly lifestyle. its a place that you can proudly call, home.ammenitiesmulti purpose lawn,amphitheatre,swimming pool,skating rink,barbeque corner,beach pool with which make for the smooth living of residents.",thane,Ready to Move,Resale,Furnished,North,2,2,0,Freehold,12,28,3700000.0,4805.0
40,2 BHK Ready to Occupy Flat for sale Lodha Upper Thane Thane,"Creatively planned and constructed is a 2 BHK flat for sale in Lodha Upper Thane, Thane. This flat for resale is a choice property. This ready to move flat in Lodha Upper Thane can be availed at a reasonable price of INR 60 Lac. This flat is an ideal choice because it is an unfurnished apartment with all basic amenities.",thane,Ready to Move,Resale,Unfurnished,Unknown,2,0,0,Unknown,3,19,6000000.0,11321.0
41,2 BHK Ready to Occupy Flat for sale in bakul vasant vihar phokaran no 1 Vasant Vihar,"This lovely 2 BHK Flat in Vasant Vihar, Thane is up for sale. It is in a prime location within the Bakul Vasant Vihar Phokaran No 1. This flat for resale is the perfect property for you! This ready to move flat in Vasant Vihar comes at an affordable price of INR 1.10 Cr. The spacious apartment is semi-furnished. Some neighbouring landmarks are vasant vihar school.",thane,Ready to Move,Resale,Semi-Furnished,North,1,1,1 Covered,Co-operative Society,5,7,11000000.0,13750.0
42,2 BHK Ready to Occupy Flat for sale Ghodbunder Road,"One can find this stunning 2 BHK flat for sale in Ghodbunder Road, Thane. Invest your valuable money in this flat that is for resale. This ready to move flat located in Ghodbunder Road is available for purchase at a fair price of INR 1.05 Cr. This immaculate flat boasts of coming in unfurnished form which takes the entire deal to the next level.",thane,Ready to Move,Resale,Unfurnished,North - East,2,0,0,Co-operative Society,6,28,10500000.0,11667.0
43,1 BHK Ready to Occupy Flat for sale Dombivli,"Dombivli, Thane has an attractive 1 BHK Flat for sale. This flat for resale is a choice property. This ready to move flat in Dombivli comes at an affordable price of INR 24 Lac. The flat is available in semi-furnished condition. The property is constructed with proximity to major landmarks like near by st thomas higs school road.",thane,Ready to Move,Resale,Semi-Furnished,East,1,0,0,Freehold,1,4,2400000.0,4571.0
44,2 BHK Ready to Occupy Flat for sale in Cosmos Park Ghodbunder Road,"This magnificent 2 BHK Flat is available for sale in Ghodbunder Road, Thane. This flat is placed in a marvellous location within the Cosmos Park complex. This apartment is a property of choice for resale. This ready to move property in Ghodbunder Road is readily available within an affordable cost of INR 78 Lac. This contemporary apartment is unfurnished. Significant landmarks in its proximity are near dmart at kavesar ghodbunder road thane west.",thane,Ready to Move,Resale,Unfurnished,East,2,1,0,Freehold,5,7,7800000.0,9750.0
45,3 BHK Ready to Occupy Flat for sale in Kalpa Taru Siddhachal 6 Thane West,"Up for immediate sale is a 3 BHK apartment in Thane West, Thane. Don't miss this bargain flat for sale. The property is ideally located in a strategic location in Kalpa Taru Siddhachal 6 township. This flat for resale is the perfect property for you! This ready to move flat in Thane West comes at an affordable price of INR 1.55 Cr. This contemporary apartment is semi-furnished. Some neighbouring landmarks are vasant vihar school.",thane,Ready to Move,Resale,Semi-Furnished,East,2,0,1 Covered,Freehold,7,16,15500000.0,12821.0
46,1 BHK Ready to Occupy Flat for sale Kasarvadavali,"Up for immediate sale is a 1 BHK apartment in Kasarvadavali, Thane. Don't miss this bargain flat for sale. This premium flat is available for resale at an unbelievable price, so, grab it before it's gone! You can buy this ready to move flat in Kasarvadavali at a reasonable price of INR 47 Lac. It is unfurnished to accommodate your needs. near by new horizon school are some of the key nearby landmarks.",thane,Ready to Move,Resale,Unfurnished,East,1,1,1 Open,Freehold,2,7,4700000.0,8246.0
47,1 BHK Ready to Occupy Flat for sale Vasind,"Vasind, Thane has an attractive 1 BHK Flat for sale. This flat is available as a resale property. You can buy this ready to move flat in Vasind at a reasonable price of INR 12 Lac. It is a semi-furnished apartment.",thane,Ready to Move,Resale,Semi-Furnished,Unknown,1,0,0,Unknown,2,2,1200000.0,2495.0
48,1 BHK Ready to Occupy Flat for sale Vasai east Thane,"This attractive 1 BHK apartment can be found for sale in Vasai east, Thane. This premium flat is available for resale at an unbelievable price, so, grab it before it's gone! The ready to move flat in Vasai east is all ready for sale at a low-priced budget of INR 32 Lac. This flat is an ideal choice because it is an unfurnished apartment with all basic amenities. Prominent landmarks in and around this locality are next to aggarwal exotica..",thane,Ready to Move,Resale,Unfurnished,Unknown,1,0,1 Open,Co-operative Society,1,9,3200000.0,8399.0
49,1 BHK Ready to Occupy Flat for sale in JP Symphony Ambernath East,"This beautiful 1 BHK Flat is available for sale in Ambernath East, Thane. This flat is placed in a marvellous location within the Jp Symphony complex. This flat is available as a resale property. This apartment in one of the significant areas of Ambernath East is ready to move, and can be purchased at the best price of INR 23 Lac. It is a semi-furnished apartment. Landmarks near the apartment include ambernath shiv mandir.",thane,Ready to Move,Resale,Semi-Furnished,Unknown,1,1,0,Co-operative Society,7,12,2300000.0,5974.0
50,2 BHK Ready to Occupy Flat for sale Kolbad,"2 BHK flat available for sale in Thane in the prime location of Kolbad. Your hunt for the perfect apartment for resale comes to an end here. Located in Kolbad, this ready to move apartment is sold at a fair selling price of INR 1 Cr. This premium unfurnished flat spells quality and comfort at a competitive price.",thane,Ready to Move,Resale,Unfurnished,North - East,2,3,0,Co-operative Society,10,10,10000000.0,11905.0
51,1 BHK Ready to Occupy Flat for sale Dombivli East,"This exquisite 1 BHK Flat is offered for sale in Dombivli East, Thane. This apartment for resale is a great choice. This ready to move flat in Dombivli East can be availed at a reasonable price of INR 50 Lac. This flat is an ideal choice because it is an unfurnished apartment with all basic amenities.",thane,Ready to Move,Resale,Unfurnished,Unknown,1,3,1 Covered,Freehold,4,4,5000000.0,8475.0
52,2 BHK Ready to Occupy Flat for sale Badlapur East,"This beautiful 2 BHK Flat is available for sale in Badlapur East, Thane. This flat for resale is the perfect property for you! This ready to move property in Badlapur East is readily available within an affordable cost of INR 30 Lac. Rest easy, as its possession date is May '15. You will find it unfurnished. Some neighbouring landmarks are chaitanya sankul , near chaitanya vidyalaya , shirgaon , badlapur east.",thane,Ready to Move,Resale,Unfurnished,Unknown,2,1,0,Co-operative Society,6,7,3000000.0,3488.0
53,2 BHK Ready to Occupy Flat for sale in Vihang Hills Ghodbunder Road,"Discover this immaculate 2 BHK flat for sale at the pristine Ghodbunder Road in Thane. Situated in the Vihang Hills township, it has a prime location. This apartment is a property of choice for resale. You can buy this ready to move flat in Ghodbunder Road at a reasonable price of INR 70 Lac. The apartment is unfurnished. its very near to upcoming metro station. are some major landmarks near the apartment.",thane,Ready to Move,Resale,Unfurnished,North - West,2,2,0,Co-operative Society,14,17,7000000.0,8750.0
54,2 BHK Ready to Occupy Flat for sale in Orovia Phase 1 Hiranandani Estate,"Discover this immaculate 2 BHK flat for sale at the pristine Hiranandani Estate in Thane. Located in the Orovia Phase 1 township, the flat enjoys access to the prime spots in the city. This flat is an attractive property for resale. You can buy this ready to move flat in Hiranandani Estate at a reasonable price of INR 1.20 Cr. This contemporary apartment is semi-furnished. The prime landmarks near this property are hiranandani estate ..",thane,Ready to Move,Resale,Semi-Furnished,East,2,1,1 Covered,Co-operative Society,21,27,12000000.0,11765.0
55,2 BHK Ready to Occupy Flat for sale in Lodha Palava City Dombivli,"This beautiful 2 BHK Flat is available for sale in Dombivli, Thane. This flat is situated within the renown township of Lodha Palava City. This premium flat is available for resale at an unbelievable price, so, grab it before it's gone! This apartment ready to move in the Dombivli is available for an attractive price of INR 51 Lac. This unfurnished flat is strategically designed with all the amenities to enhance the living experience. The flat is easily approachable because it is near to near pawar school and club house.",thane,Ready to Move,Resale,Unfurnished,North,2,1,0,Freehold,5,8,5100000.0,5611.0
56,3 BHK Ready to Occupy Flat for sale in Parkwood Kavesar,"This lovely 3 BHK Flat in Kavesar, Thane is up for sale. Situated in the excellent Parkwood township. The flat enjoys a prime location. This flat for resale is the perfect property for you! The ready to move flat in the prime area of Kavesar is available at a reasonable price of INR 1.55 Cr. Available in unfurnished state, this flat is a great buy. its near to upcoming metro station. are some of the key nearby landmarks.",thane,Ready to Move,Resale,Unfurnished,North - East,3,2,1 Covered,Co-operative Society,7,30,15500000.0,11481.0
57,1 BHK Ready to Occupy Flat for sale in Lodha Palava Lakeshore Greens Dombivli East,"This attractive 1 BHK apartment can be found for sale in Dombivli East, Thane. It is housed in the well-planned Lodha Palava Lakeshore Greens township in an advantageous location. This flat for resale is just the type of property you have been searching for! You can buy this ready to move flat in Dombivli East at a reasonable price of INR 30 Lac. The flat is unfurnished and is suitable for any family size. The prime landmarks near this property are excellent 1 bhk, unused, vastu compliant at unbeatable price.",thane,Ready to Move,Resale,Unfurnished,East,1,1,1 Covered,Freehold,6,18,3000000.0,3876.0
58,2 BHK Ready to Occupy Flat for sale in Hiranandani Skylark Enclave Hiranandani Estate,"This magnificent 2 BHK Flat is available for sale in Hiranandani Estate, Thane. This flat is situated within the renown township of Hiranandani Skylark Enclave. Your hunt for the perfect apartment for resale comes to an end here. This ready to move flat is offered at an economical price of INR 1.90 Cr. Available in semi-furnished state, this flat is a great buy. The prime landmarks near this property are hiranandani estate.",thane,Ready to Move,Resale,Semi-Furnished,East,2,0,1 Covered,Freehold,14,28,19000000.0,15385.0
